,username,date,content
38,geraihawa,2021-06-12 07:56:47+00:00,"BTS KECINTAAN SAHABAT HAWA

BTS meal memang menggiurkan, tapi BTS-nya Gerai Hawa lebih menjanjikan dooong, bikin pengen lagi pengen lagi koleksinya ⁣⁣😍 
⁣
#BTS #BTSmeal #btsxmcdonalds #btsarmy #butter #GeraiHawa #SahabatHawa https://t.co/sG9dTM2sR3"
39,DonnySaputro,2021-06-12 07:30:08+00:00,"Ga mau ketinggalan utk mencoba menu yg lagi trend saat ini, @McDonalds_ID x @kingnassar88 #BTSMeal #kingnassar #chickenmcnuggets #mcdonalds #mcdonaldsindonesia #limitededition #lunch 😚 https://t.co/GKEv4P8Kng"
40,Dj_Hiroaki,2021-06-12 06:18:38+00:00,#bts #BTSMeal https://t.co/ysDP9Psp2q
41,tokobajuindia,2021-06-12 01:00:15+00:00,#BTSFESTA2021 #BTSARMY #BTSMeal https://t.co/3FMOQlC5c6
42,oktohandoko,2021-06-11 15:32:13+00:00,"#BeraniJujurPecat 🤫lebih baek diem tertindas, dri pada berontak tak berotak. 

Coba pilih yg mana?

#IkatanCinta #BTSMeal #BTSxMcD #doort #kpkharusberkualitas #KPK_EndGame"
43,wiwindsapoetri,2021-06-11 14:18:42+00:00,"swipe left, i saw a lot of locals checking BTS because they were curious after seeing #btsmeal in Indonesia 🍟🍺 @ Jakarta, Indonesia https://t.co/FZAcR52xeB"
44,SamuelLats,2021-06-11 11:54:53+00:00,#BtsMeal dengan kearifan lokal https://t.co/jtXQRx87dc
45,VTristyawati,2021-06-11 11:32:30+00:00,"Akhirnya 
#BTSMeal https://t.co/mKGoDtqx8F"
46,lipatanpipi,2021-06-11 10:17:21+00:00,"Terimakasih ka @fathimahzahro  yang  mempercayakan jastipanya..
BTS edisi King Nassar 😆

#BTSxMcD #BTSMeal #BTSMealindonesia #BTS8thAnniversary https://t.co/26DOuI73Xj"
47,IndomieWarteg,2021-06-11 08:20:41+00:00,"Hmmmm geus ieu aing kudu kumaha 🤷🏻‍♂️ hahaha
#BTSxMcD 
#BTSMeal https://t.co/Tvqi0R5tbE"
48,RaehanFdl,2021-06-11 07:20:07+00:00,"Jual Packaging BTS Meal Rp 985.000 nego. Minat DM aja.

#BTSMeal #BTSxMcD #JualBTS #army #BTSARMY https://t.co/sHCczc5MA3"
49,Inst_stiamiBks,2021-06-11 06:17:02+00:00,"Cakar Carul ikutan tren #btsmeal nih 😂
Reposted from @institut_stiami @ Institut Ilmu Sosial Dan Manajemen Stiami https://t.co/ASKfUVuAqj"
50,ridhoalireza,2021-06-11 06:12:15+00:00,NGEPRANK si anjing ini @balifiberID ! kalo gitu kan gw kekantor gak usah nungguin!! kelakuan tai! kmrn prank jaringan abis bayar mati! Skarang CS nya udah nipu nipu kita ! parah CUK #balifiber #balifiberpenipu #BTSMeal ! https://t.co/qF8u2Ujyqo
51,ridhoalireza,2021-06-11 06:11:43+00:00,NGEPRANK si anjing ini @balifiberID ! kalo gitu kan gw kekantor gak usah nungguin!! kelakuan tai! kmrn prank jaringan abis bayar mati! Skarang CS nya udah nipu nipu kita ! parah CUK #balifiber #balifiberpenipu #BTSMeal https://t.co/8482jswhD5
52,nurterbit,2021-06-11 04:07:38+00:00,"""Wartawan Bangkotan"" Saya Pilih sebagai Personal Branding
#wartawanbangkotan #nurterbit #BTSMeal 
@kompasiana
https://t.co/1tY2rcEokX"
53,lipatanpipi,2021-06-11 01:14:10+00:00,"@ihsnseptian @ARMYTEAMIID @BTS_twt Sudah dua kali divaksin nih.
Dan dapet cogap nih dari customer pas antri #BTSMeal  dapet satu paket pula dari customernya 💜 https://t.co/6xQR3NHK2B"
54,steffifm,2021-06-11 01:07:54+00:00,Adik w di Kanada aja dpt mcnuggetnya 10 🤣🤣🤣 #bts #BTSxMcD #BTSMeal https://t.co/4xRHiv0sqI
55,174sshi,2021-06-10 23:07:35+00:00,"Akhirnya dapet #BTSMeal 

Bahagia bisa ngasih printilan2 kecil ini ke si bapak yang anter padahal dari pagi udah pasrah 😭

Tetap semangat ya pak kerjanya, sehat selalu 💜 
#SemangatOJOL #ThankYouOJOL #WePurpleYouMcD https://t.co/OhqOHrv6T9"
56,minngennn,2021-06-10 16:56:29+00:00,#BTSMeal https://t.co/JndjiwlGfW
57,wahyudikusala,2021-06-10 15:58:51+00:00,"@McDonalds_ID Disimpan Gelas 🥤Spesial, The BTS Meal 
#BTSMeal #BTSxMcD #McDonaldsXBTS https://t.co/nKO6aIJdtt"
58,wiwindsapoetri,2021-06-10 14:41:54+00:00,mine #btsmeal &amp;love saus cajun !! https://t.co/EpagyQQ7CK
59,vrrlvndr,2021-06-10 13:59:36+00:00,Buka jasa custom #BTSMEAL bisa cuan deh kayaknya https://t.co/9X8UyPmIDY
60,faniarmdhni_,2021-06-10 13:18:20+00:00,"Mau ceritaㅋ. ak ga marah sama Bpk yang nganter #BTSMeal ini, tpi Dia trss minta mmf ㅠ krna ga lngsng anterin ke ak, Sebab si Bpk nya ambil pesanan lgi, Jdi mknan nya Dingin+ Booknya jd rusak, dn ak jd kesiangan jg sekolahny. Buat Bpknya aku bnrn ga marah ko pak ㅋㅋ
#BTSxMcD https://t.co/BKmnDOrttO"
61,freseash,2021-06-10 13:14:09+00:00,"Another #btsmeal ?? 

🤭
#yeahright https://t.co/GACmaEzRKD"
62,clenaissance,2021-06-10 12:07:00+00:00,Apa itu #BTSMeal? #TeamPaNas2 😆😆 https://t.co/7QJEhFgWjp
63,SamuelLats,2021-06-10 11:46:04+00:00,"Ini kok ga bisa pesen mcd dari go food ya? Apa karena #BTSMeal bikin masalah kemaren jadi ga bisa??

Padahal mau pesen yg lain
Jadi nyusahin ya kalo gini

@McDonalds_ID https://t.co/Jxat2MWTv7"
64,DianaSeptianiM,2021-06-10 11:41:58+00:00,"🤍💜
•
•
•
•
#bts #btsmeal #btsbutter #btsarmy #mcdonalds #mcdonaldsindonesia @ Jakarta, Indonesia https://t.co/FQSG96EjX0"
65,wahyudikusala,2021-06-10 10:57:21+00:00,"@McDonalds_ID Sukses ..Mantap.. The BTS Meal 
#BTSMeal 
#BTSxMcD 
#McDonaldsXBTS https://t.co/OmbYrtMNXL"
66,justjanty,2021-06-10 10:33:05+00:00,@ridlwandjogja Dapet juga ... #BtsMeal
67,selvii_indriani,2021-06-10 09:49:07+00:00,Dah aku mah bodo amat gamau dengerin kata orang..yang penting hati senang 😍 #btsmeal https://t.co/Ho5H8W8Y1B
68,webeku,2021-06-10 09:03:00+00:00,"#BTSMealindonesia #BTSMeal
Ini yg ku tahu bts dan sinyal sebagai meal nya https://t.co/tNywtsnms4"
69,Kj03667030,2021-06-10 07:44:39+00:00,"Baru Juga Sehari Rilis ,Masa Udh Habis Stok @McDonalds_ID  #Tidakseberuntungsichakhol @Sischakhol #siscakohl  #BTSMeal  jadi Kata Pihak MCDnyh udh Habis Stok, https://t.co/GehNWGLuHj"
70,vickynuary,2021-06-10 06:58:28+00:00,"Budak kapitalisme hohoho 🍟
#BTSMeal #BTSxMcD https://t.co/flHDGS3sPH"
71,berryisme_,2021-06-10 06:36:14+00:00,im a #BTS ARMY and i ❤️  #BTSMeal https://t.co/ggM2KIc4jR
